Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Senior Critical Environment Technician,5.0,2025-07-23,"Current employee, more than 3 years"," Fortunate enough to work with a fantastic, highly knowledgeable team including leadership. As part of the few hourly positions at Microsoft, they generally allow many overtime opportunities to help support for CO+I needs to maintain the datacenters up 24/7. With a base schedule of 12hour shifts with 3/4day work weeks, it provides for great worklife balance. The work benefits are pretty amazing compared to many other companies: Being able to maximize your 401k with a 50% total limit employer match and available aftertax rollover conversion, $1750 HSA single employer contribution, $1500 Perks+, and medical/dental not taken out of your paycheck just to have coverage is phenomenal. There are some great opportunities to complete additional professional certifications and gain highly valuable job experience. Employee Resource Groups ERG are available and provide additional community and support. Wonderful career opportunity overall!"," Career development with advancement and growth opportunities are available, but they may be limited. Pay is ""competitive,"" but it is definitely substantially lower compared to other big tech competitors for similar positions even with the great benefits and stocks. Recent layoffs may affect the teammates morale",MicroSoft
Account Executive,3.0,2025-06-26,"Current employee, more than 3 years",Tech leader with global recognition Work with best and brightest  internally and externallyBenefits are still fantastic relative to most places,"Constant layoffs and reorgs are indicitive of chaotic leadership  who will apologize and accept responsibility while not actually experiencing any consequences, which comes off as extremely disingenious. Morale in MCAPS is extremely low across the board as people you've worked with for years vanish overnight. Meanwhile, you will have also feel as if you have no job security  even if you are performing well with glowing reviews from your manager  and will constantly wonder when the ball will drop on you or your team. Your friends and coworkers will vanish out of nowhere, and you'll have a constant, nagging feeling of ""am I next?"" Even if you go above and beyond, and do everything that is asked of you  one day you'll wake up and the answer will be ""yes, yes you are.""",MicroSoft
Applied Scientist Ii,3.0,2025-08-12,"Current employee, more than 1 year","Since this is a rotational program, you can try out different projects, and able to figure out what team is a best fitThe pace is not too fast, good work life balance","The social environment is very political. Managers put a lot of focus on ""visibility"" and ""leadership"", perhaps more than getting results. The projects selected are not very thought through. Some of the teams we get teamed up with are toxic, or just have generally no idea about AI and can be difficult to work with.Promotion evaluation is also not very transparent.",MicroSoft
Senior Technical Consultant,3.0,2025-06-20,Former employee,"The company once had a strong, inclusive culture where employees felt seen, heard, and valued. However, when layoffs began in 2023, it marked a noticeable shift — the culture changed, and things no longer felt the same.That said, the company offered exceptional benefits, stock options, and valuable experiences. Although I was impacted by the layoffs, I remain grateful for the opportunity and for the incredible people I had the chance to work with..",Significant culture shift following 2023 layoffs; the once inclusive and peoplefirst environment felt diminishedCommunication became less transparent as organizational changes continuedUncertainty around job security affected overall morale and team cohesionLeadership seemed less engaged with employee feedback during periods of transitionRapid changes led to increased workloads and fewer growth opportunities in later stages,MicroSoft
Senior Software Engineer,1.0,2025-07-06,"Former employee, more than 3 years","benefits, cafeteria, vacation time, flexible hours, medical leaveHR Is a nightmare, do not EVER bring an issue to them you will be targeted for removal"," bad computers and equipment on your first day seriously used/old/dirty computers and this is your first introduction in how they ""include"" you  they do not ask what kind of gear you need, and if you need something nobody will help you get it ordered, and you may get directed to an old office that has become a graveyard of bad old equipment to pick through. unfriendly coworkers in many cases lack of true collaboration in many cases they talk about DEI  lots of seminars, but in practice it is not respected ouside the seminars. They get people to confess to imposter syndrome and act like isn't it great to always go around talking about your weakness and those people are the ones who got fired and layed off the first chance they get.  they suck interns in like crazy grind them up, then spit them out quickly and they hire so many just to keep other companies from being able to hire the fresh meat.",MicroSoft
Program Manager,4.0,2025-07-24,"Current employee, more than 5 years","1.	Flexible Work Options – Microsoft offers hybrid and remotefriendly roles, with many teams supporting asynchronous work to accommodate personal schedules.	2.	Respect for Personal Time – Most managers respect boundaries around nonworking hours, and there’s a strong culture of not expecting afterhours emails or meetings unless it’s critical.	3.	Generous Time Off – Competitive PTO, sick leave, and mental wellness days ensure that employees can recharge when needed.","1.	Workload Depends on Team – While the culture supports balance, some highvisibility or customerfacing teams can experience spikes in workload, especially during global events or product launches.	2.	AlwaysOn Feeling – In global roles, working across time zones may occasionally require early mornings or late meetings, which can blur worklife boundaries over time.",MicroSoft
Software Engineer,5.0,2025-08-05,Former employee,"Incredible smart and collaborative colleagues — you're surrounded by some of the best engineers in the world.Great compensation and benefits, including generous parental leave, 401k matching, and wellness perks.Career mobility is strong — it’s possible to switch teams, orgs, or even disciplines with manager support.Remote/hybrid flexibility has improved a lot since 2020.Culture encourages worklife balance more than you'd expect from Big Tech.","Like many large companies, there’s a lot of process, and decisionmaking can be slow.Performance reviews feel a bit opaque, and there's still a ""stack ranking"" vibe even if unofficial.Some teams can be hitormiss — experiences vary widely depending on your org and manager.Innovation sometimes takes a backseat to risk aversion in mature product areas.",MicroSoft
Csa Director,3.0,2025-08-04,"Current employee, more than 10 years",Fair compensation. Good people work at field level.,"Culture has become cutthroat and Job Stability is a roulette.The gap between the speech of the leadership and their actions is huge. Diversity is a PR Stunt focused on the legal definition on it, not on truly diversity of thoughts, skills, preferencesCompany is on the habit of using alternate names to hide reality Like forced curve to evaluate employees and provide bonus.",MicroSoft
Technical Program Manager,5.0,2025-08-07,"Current employee, less than 1 year","Smart, missiondriven people. Lots of opportunities to take ownership and drive crossfunctional impact. Strong compensation and benefits. Great worklife balance depends on the team but is generally respected. Internal mobility is possible with the right network and initiative.","Bureaucracy can slow down decisionmaking. Some orgs are siloed. Internal documentation and onboarding processes can be overwhelming, especially in complex technical teams. Career advancement depends heavily on visibility and networking.",MicroSoft
Senior Partner Success Manager,4.0,2025-07-19,"Former employee, more than 10 years","Majority people are kind and genuinely helpful, you get excellent perks, lots of flexibility in scheduling, supportive management to pursue passion projects, myriad of resources to learn and grow, and overall great work life balance with fair pay!","Moving internally to different roles requires extensive networking and some politics. They are considered lateral moves so there are no level changes or pay increases, unless you are moving from individual contributor to management. Also why promotions can be slow moving unless you take the lead on it.  You are also in a constant state of ""building the plane as you fly"" and catching up. So lack of clear vision and structure does affects productivity.More people than work, which explains the layoffs to be honest and a significant culture shift from leadership since 2023.",MicroSoft
Azure Support Engineer,3.0,2025-08-10,"Former employee, more than 8 years","Great benefits, good starting salary, opportunities abound",Salary does not keep up w/ inflation.  Workload and expectations FAR outpace compensation.  What was once an environment of collaboration and teamwork has returned to a cut throat workforce where your contributions must be greater than your colleagues,MicroSoft
Senior Technical Program Manager,1.0,2025-07-28,"Former employee, more than 10 years","Great pay, decent benefits and you get to work with some great people","With brutal layoffs, Microsoft has repeatedly demonstrated that they have NO regard for the human beings who work for them. They only care about money. To reduce costs, even though stock is at an alltime high and the company is worth over three TRILLION dollars, this year they laid off or fired thousands of loyal employees with an incredible cumulative amount of brainpower that they have spent decades recruiting, hiring and growing with no notice whatsoever. Looking for a career? Look for a company who wants to give you one instead of this one that just wants to bleed you dry and then throw you away.",MicroSoft
Technical Advisor,3.0,2025-08-06,"Current employee, more than 5 years",Good 401k matchCompany somewhat values worklife balance under 50 hours a weekFree healthcare outside deductibleMostly work from home. Subject to Change,Company has no clear vision for employees. 5k+ layoffs every quarter for the past 2 years.Low pay increases the last 5 years despite record profits,MicroSoft
Sr. Ux Designer`,1.0,2025-07-19,"Current employee, more than 5 years",The actual workerlevel people are generally very down to earth and good folk.,Pathetic executives doing mass layoffs amid record profits destroying morale across the board. Worthless AI hype obsession rather than actually making good products.,MicroSoft
Data Center Technician,4.0,2025-07-31,"Current employee, more than 1 year","Work life balance, benefits, and decent culture. Opportunities for growth are there if you have the right personality. Always something new to learn.",Raises/Promotions are hard to come by if you're not visible enough to management. Culture is dependent on which campus you're at. Technically gifted individuals are often overlooked and neglected. Lack of technical roles in the data center. General career paths are management and project management.,MicroSoft
Server Engineer,3.0,2025-08-13,"Current employee, less than 1 year",Good benefits and co workers are actually nice,Poor management they dont really seem to care much unless its really urgent,MicroSoft
Business Program Manager,3.0,2025-05-07,Former employee,"The benefits were incredible. Microsoft covered premiums for medical/dental/vision. They gave thousands in an HSA card. They matched 50% of 401k contributions up to the IRS limits. All told, probably 30k worth of benefits. The work was interesting, at least at first. Not too much micromanaging.Excellent severance package.","No job stability. Seemingly at random, groups would get laid off. Might be 10 people this week from a neighboring department. Might be 2000 people next week. My group lasted pretty long, all things considered. Doesn't matter how well your team does, how many projects you complete, your team may be laid off with no warning.I'm marking DEI as 1 star not due to any personal bad experiences, but rather because they laid off the entire DEI team, so I anticipate things getting worse.More and more of the work is focused on the AI projects, even when the results of those projects are less than impressive.",MicroSoft
Principal Customer Engineer,4.0,2025-07-02,"Current employee, more than 10 years","Pay, benefits, and overall access to products and software. There are some great managers too as well as options to work remote depending on the role. Supportive with moves to other teams.","Like anything Technology, fast paced and competitive. A.I. has changed the landscape with roles and reorganization with recent layoffs in the thousands. Need to be sure to stay sharp on latest trends and notice the writing on the wall or changes will come without notice. Being flexible is key.",MicroSoft
Director,4.0,2025-07-31,Current employee,"Amazing team, great benefits, good pay, good work life balance.","If you do not live in the Seattle area, you will be pretty isolated. Most people are based there and there's no travel budget to meet your team. it gets tiring after a while of being the only one in the team outside of Redmond. Also, you must be in Redmond to advance in your career past a certain level.",MicroSoft
Software Engineer Ii,2.0,2025-07-16,"Former employee, more than 10 years"," Good pay/benefits Generally good work/life balance for big tech, depending on your manager Decently supportive of WFH/hybrid, with no forced RTO"," Changing teams is the same as applying from outside the company, lengthy interview loops and all Very deep hierarchies with many middle managers, lots of office politics, reorgs, etc. Always a big layoff around the corner Even if your manager is good, sometimes companywide initiatives will hurt you. I lost my job due by an automated process that my manager wasn't even involved in. AntiDEI at this point. Got rid of their whole DEI department, and then fired me and a lot of other trans and disabled people two days after the inauguration this year.",MicroSoft
Hrbi Analyst,5.0,2025-08-12,"Current employee, more than 3 years","People are great, work is interesting, work life balance amazing",Depending on leadership could be toxic,MicroSoft
Principal Program Manager,2.0,2025-07-21,"Former employee, more than 10 years","If you're at the bleeding edge of AI and the supporting technology, it's where the money is. Copilot be damned, Azure OpenAI will be a force.","If you were a part of the 'old guard', the legacy products, you're being cut to bare metal on resources to fund the juggernaut. That includes things like security & privacy efforts, supportability, anything resembling quality of life for employees. We even had a Satya direct tell us anything less than Enterprise customers weren't a priority any longer, it was AI and the Enterprise customers for the foreseeable future.",MicroSoft
Support Engineer,4.0,2025-08-11,"Current employee, more than 3 years",good flexible work from home 100%Unlimited pto,the role is pretty dead end in terms of growthJob security is at an all time low with the layoffs,MicroSoft
Sde-2 Backend,5.0,2025-08-11,Former employee,Benefits and wlb good for getting into big tech,Several big tech companies pay better and have more challenging work,MicroSoft
Product Manager Ii,4.0,2025-08-05,"Former employee, more than 3 years"," benefits 401k match, $1500 perks+, unlimited PTO good culture depending on team work constantly evolving work life balance", recognition can be hard to get always have to think of work politics culture in some teams can be bad overall culture is starting to go down since AI focus,MicroSoft
Engineer,1.0,2025-08-11,"Current employee, more than 5 years",Used to be able to wfh. now sure if possible now.Good wlb in the past. now its changed.,"Bad leadershipbad product strategyold and irrelevant stackFrequent layoffs and massive reorgs every week,",MicroSoft
Finance Manager,3.0,2025-08-05,"Former employee, more than 5 years","pay is decent, flexibility for workspace hybrid",bad work life balance. high stress. constantly online 12+ hours per day during busy times. culture is changing for the negative due to recent reorganization and people being replaced by AI. not flexible on remote work anymore which is unfortunate.,MicroSoft
Senior Ux Researcher,5.0,2025-08-11,"Current employee, more than 5 years","Interesting and worthwhile problems to solve, good manager, good benefits",There's a constant risk of layoffs,MicroSoft
It Support Specialist,5.0,2025-07-01,"Current employee, more than 3 years","Great benefits: insurance, vacation, health support, WFHDiverse, open, individualrespecting work cultureFriendly, supportive bossLearn from the world's leading engineers",Internal processes are sometimes slow and bureaucraticHigh pressure in teams dealing with large productsSalary increases or promotions are sometimes unclear,MicroSoft
Principal Product Manager,2.0,2025-07-14,"Former employee, more than 10 years",good benefitscompetitive salarylovely campusAppears to really care about developing people,"doesn't really care about developing peoplestarting to really buckle down on RTOLaying people off all over the place in favor of AINo investment in ethical AI, AI culture, or safety controls",MicroSoft
Critical Environment Program Manager,4.0,2025-08-06,"Current employee, more than 5 years","Competitive, challenging, ever changing, growing field.","Hiring practice is to hire from outside, will not typically hire from within.",MicroSoft
Principal Software Engineer,5.0,2025-08-06,"Former employee, more than 10 years","Incredible people, ability to move to virtually any part of computer science while staying in the same company. Benefits were top notch.","Pay was ok, but not spectacular compared to other top tier competitors.",MicroSoft
Senior Program Manager,4.0,2025-07-05,"Former employee, more than 5 years",Does feel like the company actually cares about its employeesVery cognizant of the special talents and needs of its neurodiverse employeesYou will learn a lot that will be beneficial to your careerYou will work with some amazingly talented colleagues,"Can feel hypercompetitive even within teams at timesGo Azure or go homeThe skills, talents and abilities of those around you can feel intimidating at timesNot the highest pay in the industry counter balanced somewhat by genuinely incredible health insuranceThere are ""crunch"" times where you will be worked to the bone",MicroSoft
Sr. Marketing Manager,4.0,2025-08-02,"Former employee, more than 5 years",Great benefits and Connect perf bonuses. Most colleagues and peers are brilliant and collaborative,"SLT quickly selling out to investors and stakeholders, AI investment replacing those that built the tools and products. RTO and consistent layoffs killing what once was a wonderful culture under Satya",MicroSoft
Principal Visual Designer,2.0,2025-07-14,"Former employee, more than 1 year","Good work life balance , good pay.","Micro management of experienced design leaders and directors by PMs with little to no experience on design process or design principles, yet unpractical timeline demands . A lot of senior full time employees wasting time on “selfdirected” projects to look busy and not really problem solve with frugal solutions.",MicroSoft
Data Scientists Ii,5.0,2025-08-09,"Current employee, less than 1 year",Very happy with the culture,"Takes a while to get a gist of the company, is huge",MicroSoft
Software Architect,4.0,2025-08-10,Former employee,"Big Tech, good compensation, good benefits","Too much politics, bad WLB",MicroSoft
Site Reliability Engineer,4.0,2025-08-04,"Former employee, more than 3 years","I enjoyed my time at Microsoft. Work/life balance was great. The work culture started off pretty well, too.","As time went on, it seemed like demands on the individual contributors continued to increase to relatively unrealistic expectations.",MicroSoft
Senior Threat Analyst,4.0,2025-08-08,"Current employee, more than 1 year","great business outlook, work/life balance, and a company that cares.","lower compensation compared to peers, RTW efforts, and limited upward mobility.",MicroSoft
Sr. Swe,3.0,2025-08-10,Current employee,Good culture love to work here,Move slow not sure it is worth to stay long,MicroSoft
Director Sales,1.0,2025-07-20,"Current employee, more than 10 years",Work/life balance and some benefits,"Quarterly layoffs, terrible culture, no budgets for anything, survival mentality.",MicroSoft
Strategic Account Executive,2.0,2025-08-05,"Former employee, more than 3 years","Benefits, and has both company and product trust.",Culture. They really don’t care about employees as much as they like to try to make that their reputation.,MicroSoft
Finance,4.0,2025-08-09,"Former employee, less than 1 year",Good company with collaborative team,Competitive environment with potential to grow,MicroSoft
Customer Success Manager,4.0,2025-08-07,Former employee," selfmotivated, peers are super kind and willing to help"," not very high impact, sometimes unclear guidelines",MicroSoft
Senior Learning Experience Designer,2.0,2025-06-15,"Current employee, less than 1 year","Free Xbox game pass, $1500 wellness benefit that can be used on tons of things, remote work, and unlimited discretionary PTO.","Toxic and mistrusting people, bad management, no efficient processes, lack of data to make informed decisions, and frequent layoffs. There is no path for growth and a lack of vision. The “values” are performative and they use growth mindset as a crutch to continue to cause disruption rather than making strategic decisions. Overall it’s a very “meetings about nothing” culture, everything gets offloaded to vendors and partners so you’re mainly babysitting rather than participating in meaningful work. Microsoft may be printing money, but the amount of waste is unbelievable. And when I talk about waste, it’s not the people, it’s the vendor relationships and frequent pivots. This all culminates in zero work like balance, especially if you do not live near campus.",MicroSoft
Software Engineer -2,4.0,2025-08-04,Current employee,Benefits are great good infrastructure for coding processesa lot of clarity in the promotion path,"Very difficult to move, each project requires weeks, if not months of iterations in the design phase",MicroSoft
Senior Data Scientist,4.0,2025-08-07,Current employee,There is reasonable work life balance,Recent layoffs and reorgs have made for a stressful atmosphere.,MicroSoft
Principal Engineering Manager,4.0,2025-08-08,"Former employee, more than 10 years",A great company with good culture,None that I can point out,MicroSoft
Digital Sales Specialist,4.0,2025-07-31,Former employee,"great culture, benefits, and compensation","Culture of fear starting to develop, no team knows where the cuts will come next, high stress and long hours in some quarters maybe because some sales teams are now understaffed",MicroSoft
Managing Director,4.0,2025-08-06,Former employee,People are willing to band together and solve problems.,Performance structure is weak and decreases employee motivation.,MicroSoft
Software Engineer 2,3.0,2025-07-30,"Former employee, more than 8 years",Overall company culture is good. Team culture varies quite a bit,"Mid level magars are generally bad at people management. Lack of leadership mindset and focus on just managing a project instead of project and people, deteriorates team culture",MicroSoft
Software Engineering Director,5.0,2025-08-07,Current employee,Great Tech problems to solve,too many changes in company strategy,MicroSoft
Quantum Software Engineer,5.0,2025-08-06,"Current employee, less than 1 year","Good research topics, good people,",Shift focus too much. many short term request,MicroSoft
Principle Technical Program Manager,3.0,2025-08-07,"Current employee, more than 10 years",Lots of opportunities to grow,layoff fear has everyone panicking,MicroSoft
Project Manager,5.0,2025-08-06,"Former employee, more than 1 year","Great benefits, great environment, flexible working conditions.",None that I can say.,MicroSoft
Marketing Manager,4.0,2025-07-30,"Former employee, more than 1 year","Surrounded by competent people in my team, good PTO, good pay, growth mindset environment is helpful for reflection","Didn't receive a lot of help, pressure to figure it out on my own, not very collaborative team",MicroSoft
Global Support Director,1.0,2025-07-29,"Former employee, more than 3 years",It will make you appreciate other companies.,"Everyone is looking for an edge to knock someone down. Constant infighting. No one wants to collaborate, its all about how do i make myself look good.",MicroSoft
Marketing Specialist,5.0,2025-08-05,"Former employee, more than 1 year","Great leadership, great atmosphere, bragging rights","Job security none, mass layoffs always a fear",MicroSoft
Sr Customer Success Manager,3.0,2025-08-01,"Former employee, more than 5 years",Great salary and benefits for nontechnical roles.,Continual layoffs and performance firings.,MicroSoft
Sales Specialist,4.0,2025-07-19,"Former employee, more than 3 years",The digital enterprise sales org is tight nit and a ton of fun where you get to move with agility and flex sales and technical muscle. The immediate leadership is down to earth and sincerely looks out for your growth and takes feedback seriously to improve.,Job security is in question. I was impacted by the layoffs.,MicroSoft
Member Of Technical Staff,4.0,2025-08-03,Former employee,pays better than other parts of microsoft,"no product yet, waiting for public impact",MicroSoft
Cloud And Ai Solution Engineer,5.0,2025-08-03,Former employee,Great work culture and very helpful colleagues,Nothing so far and it depends on individuals,MicroSoft
Cyber Security Analyst,4.0,2025-07-28,Former employee,Definitely the best of the best in terms of culture and learning experience. They have grat benefits and having a good team goes a long way.,The organization is so big everything may seem overwhelming.,MicroSoft
Senior Accessibility Program Manager,4.0,2025-07-09,Current employee,"Many good managers, and you can chart your own course. The benefits are good not great.","Too many layoffs to feel comfortable. You must stay on top of how AI can and does affect your field, even though it may be detrimental. Change is hard because budget and flash are the bottom line.",MicroSoft
Senior Consultant,3.0,2025-07-27,"Current employee, more than 1 year","Excellent pay and benefits, continuous opportunity to learn and grow","Whiplash from constantly shifting direction and priorities, no job security 15000+ layoffs in first six months of 2025, productivity/performance over people, no internal mobility",MicroSoft
Hr Consultant,3.0,2025-07-22,"Former employee, more than 10 years",1. Opportunities for growth2. Availability of learning materials3. Building a network,"1. Instability due to multiple reorgs, layoffs, and push for AI2. Changes to benefits in past couple years other businesses have greater benefits3. Workloads create difficulty in maintaining work life balance",MicroSoft
Analyst,5.0,2025-08-03,"Former employee, more than 1 year",it was a great place to work,the pace is exceptionally high,MicroSoft
Hardware Engineer,4.0,2025-07-28,"Current employee, more than 1 year","Amazing food options, very smart individuals.","Hardware management is a bit of a mess, lots of layoffs in the AI field.Heavy workload in the SCHIE org",MicroSoft
Industry Advisor,2.0,2025-07-18,"Former employee, more than 3 years","lots of nice and smart folks, benefits, etc.","no transparency, everyone is afraid of layoffs so cannot concentrate on the long term, which is bad both for customers and employees",MicroSoft
Cloud Solutions Architect,1.0,2025-07-23,"Former employee, more than 10 years","Good work life balance, renamed company","Leadership is clueless, stakeholders over everything and anything.Made changes abruptly and didn't analyze consequencesInternal tools are badNo one in the higher up is accountable for their mistakes.M1 are not in the loop of anything until last minute.Career opportunities are scarseEvery quarter people are scared if they are going to be RIF.",MicroSoft
Senior Gtm Manager,2.0,2025-05-21,"Former employee, more than 1 year",Great benefitsFlexibility working environmentsVisionary CEOTechnology trendsetterSupports worklife balanceFocus on giving back,"Internal competition to show ""impact"" causes passive aggressive exclusivity between groupsPerformance judged on criteria that has nothing to do with your official job dutiesUpper management definitely plays favoritesBeing considered for other roles in the company is difficult unless you know someoneOnboarding support and/or training is NONEXISTENT which is incredibly detrimental when coming into Microsoft from the outside.",MicroSoft
Anyonymous Employee,4.0,2025-07-30,"Former employee, more than 1 year",Amazing Work cultureGood pay salary,sometimes difficult to talk about anything other than techDifficult to make close friends.,MicroSoft
Critical Environment Technician,2.0,2025-07-30,"Current employee, more than 3 years",Great benefits is only pro,"Terrible management, pay scale is lower than any local competition, work life balance is not good. Under staffed",MicroSoft
Support Solutions Specialist,3.0,2025-07-22,"Former employee, more than 5 years",the benefits are great. not a ton of micromanaging.,the empathy culture is gone.  constant layoffs and reshuffling.  customers constantly have one legitimate gripe or another dealing with microsoft.,MicroSoft
Senior Pm,3.0,2025-06-24,"Former employee, more than 8 years","Exposure to cuttingedge technology and realworld impactOpportunities to build new skills in a fastpaced environmentBrilliant, collaborative colleagues who raise the barCulture of continuous learning and innovationWorklife balance was excellent—until recent org shifts disrupted that","Organizational structure in constant flux, leading to confusion and reworkCareer mobility is limited despite internal promisesDeclining morale driven by unpredictable layoffs and lack of transparent communicationJob security feels more like chance than meritStrategic direction unclear, fostering uncertainty across teams",MicroSoft
Senior Finance Manager,4.0,2025-07-31,"Current employee, more than 1 year",Job opportunities within the company,Unstable due to layoffs and typtical big corp culture can be hierachieral,MicroSoft
Inventory Control Expert,5.0,2025-07-30,Former employee,Very helpful while working as a student,Upper management is very hard to reach,MicroSoft
