Job Title Clean	Job Title Entities	Pros Clean	Pros Entities	Cons Clean	Cons Entities	Cleaned Status	Cleaned Rating	Time	Employment_Type	Role_Type	Duration	Company_Name	combined_text	similarity	x	y	Rating_scaled	Role_Type_contractor	Role_Type_employee	Role_Type_freelancer	Role_Type_internship	Role_Type_temporary	hybrid_similarity	relevance_score	relevant	adjusted_score
epg intern	{'NER': [('epg', 'ORG')], 'ROLES': ['epg intern', 'intern']}	excellent coworker interesting task able manage time work	{'NER': [], 'ROLES': []}	big corporation salary intern well	{'NER': [], 'ROLES': ['interns']}	Former Employee, Less Than 1 Year	5.0	2016-08-14	Former	employee	<1 year	MicroSoft	epg intern excellent coworker interesting task able manage time work big corporation salary intern well employee	0.5338326	17.14854	65.022285	1.0	0.0	1.0	0.0	0.0	0.0	0.37747661376397557	0.5	0	0.9619001
intern	{'NER': [], 'ROLES': ['r&d', 'r&d intern', 'intern']}	good place work confortable office	{'NER': [], 'ROLES': ['good']}	low salary relative internal restaurant	{'NER': [], 'ROLES': []}	Current Employee, Less Than 1 Year	5.0	2021-12-23	Current	employee	<1 year	MicroSoft	intern good place work confortable office low salary relative internal restaurant employee	0.53359777	22.51981	64.67322	1.0	0.0	1.0	0.0	0.0	0.0	0.3773105709916597	0.5	0	0.961477
swe intern	{'NER': [], 'ROLES': ['swe', 'swe intern', 'intern']}	experience good reputation good resume	{'NER': [], 'ROLES': ['good', 'good']}	lot work long hour	{'NER': [('long hours', 'TIME')], 'ROLES': ['lots']}	Current Employee	4.0	2025-02-13	Current	employee	default	MicroSoft	swe intern experience good reputation good resume lot work long hour employee	0.53228855	18.069258	65.17802	0.75	0.0	1.0	0.0	0.0	0.0	0.3763848266019733	0.5	0	0.9591179
research intern	{'NER': [], 'ROLES': ['research', 'research intern', 'intern']}	nice host colleague flexible time	{'NER': [], 'ROLES': ['host']}	remote remote remote remote remote	{'NER': [], 'ROLES': []}	Current Employee	5.0	2025-06-16	Current	employee	default	Google	research intern nice host colleague flexible time remote remote remote remote remote employee	0.5796468	18.796467	59.62711	1.0	0.0	1.0	0.0	0.0	0.0	0.4098721675462119	0.5	0	0.95886654
security intern	{'NER': [], 'ROLES': ['security', 'security intern', 'intern']}	position pay get opportunity work high level enterprise security project complete degree	{'NER': [], 'ROLES': ['security', 'projects']}	work remotely hard connect day assignment work	{'NER': [], 'ROLES': ['it', 'many']}	Former Employee, More Than 1 Year	4.0	2020-07-29	Former	employee	1 - 3 year	IBM	security intern position pay get opportunity work high level enterprise security project complete degree work remotely hard connect day assignment work employee	0.5649403	13.932051	58.378178	0.75	0.0	1.0	0.0	0.0	0.0	0.3994731500629894	1.5	1	0.9578918
internship	{'NER': [], 'ROLES': ['internship']}	professional knowledgeable helpful people	{'NER': [], 'ROLES': ['professional']}	job posting scarce especially entry level position	{'NER': [], 'ROLES': []}	Current Employee, Less Than 1 Year	5.0	2024-08-15	Current	employee	<1 year	MicroSoft	internship professional knowledgeable helpful people job posting scarce especially entry level position employee	0.53151387	16.609358	65.82282	1.0	0.0	1.0	0.0	0.0	0.0	0.3758370623953651	0.5	0	0.957722
intern marketing	{'NER': [], 'ROLES': ['intern', 'intern marketing', 'marketing']}	ibm new york good internship experience want pretty interesting witness company transform	{'NER': [('ibm', 'ORG'), ('new york', 'GPE')], 'ROLES': ['internship', 'it', 'it']}	hq armonk especially millennial	{'NER': [('armonk', 'GPE')], 'ROLES': []}	Former Employee, More Than 1 Year	5.0	2017-11-05	Former	employee	1 - 3 year	IBM	intern marketing ibm new york good internship experience want pretty interesting witness company transform hq armonk especially millennial employee	0.5643299	15.616715	65.33943	1.0	0.0	1.0	0.0	0.0	0.0	0.39904149207169554	0.5	0	0.9568569
remote network engineer	{'NER': [], 'ROLES': ['remote network engineer', 'network', 'network engineer', 'engineer']}	good place gain experience	{'NER': [], 'ROLES': ['good']}	awful location field development engineer	{'NER': [], 'ROLES': ['engineer']}	Current Employee	4.0	2022-03-06	Current	employee	default	IBM	remote network engineer good place gain experience awful location field development engineer employee	0.5608747	1.6168406	27.905693	0.75	0.0	1.0	0.0	0.0	0.0	0.39659820938794255	0.5	0	0.95099837
live remote coordinator assistant	{'NER': [], 'ROLES': ['live remote coordinator assistant', 'coordinator', 'assistant']}	get easy understandable training join	{'NER': [], 'ROLES': ['training']}	team member weak understand assistance	{'NER': [], 'ROLES': []}	Former Employee, More Than 10 Years	5.0	2025-05-27	Former	employee	default	MicroSoft	live remote coordinator assistant get easy understandable training join team member weak understand assistance employee	0.5275638	-7.8462405	16.440556	1.0	0.0	1.0	0.0	0.0	0.0	0.3730439577815794	0.5	0	0.9506045
silicon engineer intern	{'NER': [], 'ROLES': ['silicon engineer', 'silicon engineer intern', 'engineer', 'engineer intern', 'intern']}	large budget infrastructure mean project positive growth fund	{'NER': [], 'ROLES': ['infrastructure', 'projects']}	adaptable remote work life	{'NER': [], 'ROLES': []}	Former Employee, Less Than 1 Year	4.0	2025-03-10	Former	employee	<1 year	MicroSoft	silicon engineer intern large budget infrastructure mean project positive growth fund adaptable remote work life employee	0.5269962	-11.025986	20.591112	0.75	0.0	1.0	0.0	0.0	0.0	0.3726425953224298	0.5	0	0.94958174
software engineerer	{'NER': [('engineerer', 'ORG')], 'ROLES': ['software', 'software engineerer']}	pay good worklife balance perfect	{'NER': [], 'ROLES': ['good']}	remote possible time office	{'NER': [('3', 'CARDINAL')], 'ROLES': []}	Former Employee	5.0	2023-05-25	Former	employee	default	MicroSoft	software engineerer pay good worklife balance perfect remote possible time office employee	0.5254755	1.9422872	38.329006	1.0	0.0	1.0	0.0	0.0	0.0	0.3715672488874212	1.5	1	0.94684166
rt	{'NER': [], 'ROLES': ['rts']}	pay good work	{'NER': [], 'ROLES': ['good']}	remote work	{'NER': [], 'ROLES': []}	Current Employee, More Than 1 Year	5.0	2025-04-29	Current	employee	1 - 3 year	IBM	rt pay good work remote work employee	0.558017	-8.699151	18.925282	1.0	0.0	1.0	0.0	0.0	0.0	0.39457757002676747	1.5	1	0.946153
data engineer intern	{'NER': [], 'ROLES': ['data engineer', 'data engineer intern', 'engineer', 'engineer intern', 'intern']}	team nice willing help ask	{'NER': [], 'ROLES': []}	personally like fully remote internship	{'NER': [], 'ROLES': ['internship']}	Former Employee, More Than 1 Year	4.0	2024-08-05	Former	employee	1 - 3 year	IBM	data engineer intern team nice willing help ask personally like fully remote internship employee	0.55757713	18.251247	59.412285	0.75	0.0	1.0	0.0	0.0	0.0	0.39426646510756613	0.5	0	0.94540715
apply researcher	{'NER': [], 'ROLES': ['applied researcher', 'researcher']}	big company job security good	{'NER': [], 'ROLES': ['security', 'good']}	project good remote site	{'NER': [], 'ROLES': ['project', 'good', 'it']}	Current Employee, Less Than 1 Year	2.0	2012-09-23	Current	employee	<1 year	MicroSoft	apply researcher big company job security good project good remote site employee	0.5237974	7.570605	18.823143	0.25	0.0	1.0	0.0	0.0	0.0	0.370380690388036	0.0	0	0.9438179
ai research intern	{'NER': [], 'ROLES': ['ai research intern', 'research', 'research intern', 'intern']}	great work environment great manager	{'NER': [], 'ROLES': ['great', 'great', 'manager']}	learn startup	{'NER': [], 'ROLES': []}	Former Employee	5.0	2024-04-16	Former	employee	default	MicroSoft	ai research intern great work environment great manager learn startup employee	0.52253497	19.693697	59.517776	1.0	0.0	1.0	0.0	0.0	0.0	0.3694879985852677	0.5	0	0.94154316
human resource analyst	{'NER': [], 'ROLES': ['human resource', 'human resource analyst', 'analyst']}	remote work great pay family orient	{'NER': [], 'ROLES': ['great']}	time	{'NER': [], 'ROLES': []}	Current Employee, Less Than 1 Year	5.0	2021-06-25	Current	employee	<1 year	Cisco	human resource analyst remote work great pay family orient time employee	0.5408293	10.565146	12.897001	1.0	0.0	1.0	0.0	0.0	0.0	0.38242404651736867	2.5	1	0.94040453
sr escalation engineer	{'NER': [], 'ROLES': ['sr escalation engineer', 'escalation', 'escalation engineer', 'engineer']}	remote hybrid work pay	{'NER': [], 'ROLES': []}	available grow career path	{'NER': [], 'ROLES': ['many']}	Current Employee, More Than 10 Years	5.0	2024-06-07	Current	employee	default	MicroSoft	sr escalation engineer remote hybrid work pay available grow career path employee	0.52177227	-10.848489	20.226347	1.0	0.0	1.0	0.0	0.0	0.0	0.3689486793057303	2.5	1	0.94016886
software intern	{'NER': [], 'ROLES': ['software', 'software engineer- intern', 'intern']}	great company good place work	{'NER': [], 'ROLES': ['great', 'great company', 'good']}	big size company easily lose	{'NER': [], 'ROLES': []}	Former Employee	5.0	2009-05-12	Former	employee	default	Cisco	software intern great company good place work big size company easily lose employee	0.5396169	18.634958	61.00885	1.0	0.0	1.0	0.0	0.0	0.0	0.38156673727898105	0.5	0	0.9382964
security analyst	{'NER': [], 'ROLES': ['security', 'security analyst', 'analyst']}	good location office nice people	{'NER': [], 'ROLES': ['good']}	someitmes remote work probz	{'NER': [], 'ROLES': []}	Current Employee	5.0	2024-06-05	Current	employee	default	MicroSoft	security analyst good location office nice people someitmes remote work probz employee	0.5206709	9.328229	17.149734	1.0	0.0	1.0	0.0	0.0	0.0	0.3681698731100541	0.5	0	0.9381843
technical undergraduate intern	{'NER': [], 'ROLES': ['technical', 'technical undergraduate intern', 'intern']}	amazing highly recommend fun learn lot	{'NER': [], 'ROLES': []}	broad actual value intern company	{'NER': [], 'ROLES': ['interns']}	Former Employee	5.0	2025-06-19	Former	employee	default	Cisco	technical undergraduate intern amazing highly recommend fun learn lot broad actual value intern company employee	0.5382509	17.643543	62.088463	1.0	0.0	1.0	0.0	0.0	0.0	0.3806008276000338	0.5	0	0.93592125
hardware software intern	{'NER': [], 'ROLES': ['hardware/software intern', 'software', 'software intern', 'intern']}	great salary compare company internship program work san jose campus find college student scatter campus cisco hire student variety university country review mention new hire program offer opportunity meet peer work pertinent project fulltime employee similar thing team busy busy opendoor culture work question concern free bring manager coworker willing help learn contribute	{'NER': [('san jose', 'GPE'), ('cisco', 'ORG')], 'ROLES': ['great', 'internship', 'many', 'college', 'students', 'students', 'program', 'projects', 'it', 'manager', 'many']}	local relocate san jose confusing cisco offer relocation compensation find place live month corporate housing offer intern coop silicon valley area see intern temp neighborhood apartment offer shortterm monthtomonth lease like con especially college student team need stay midnight expect expect overtime pay despite short stay definitely catch whiff stagnate bureaucracy drive project coworker nuts suppose happen big company	{'NER': [('san jose', 'GPE'), ('cisco offers relocation compensation', 'ORG'), ('the next 3 to 6 months', 'DATE'), ('midnight', 'TIME')], 'ROLES': ['it', 'interns', 'many', 'interns', 'many', 'college', 'student', 'project']}	Current Employee	4.0	2008-07-16	Current	employee	default	Cisco	hardware software intern great salary compare company internship program work san jose campus find college student scatter campus cisco hire student variety university country review mention new hire program offer opportunity meet peer work pertinent project fulltime employee similar thing team busy busy opendoor culture work question concern free bring manager coworker willing help learn contribute local relocate san jose confusing cisco offer relocation compensation find place live month corporate housing offer intern coop silicon valley area see intern temp neighborhood apartment offer shortterm monthtomonth lease like con especially college student team need stay midnight expect expect overtime pay despite short stay definitely catch whiff stagnate bureaucracy drive project coworker nuts suppose happen big company employee	0.53722095	14.356348	60.992615	0.75	0.0	1.0	0.0	0.0	0.0	0.37987255843321754	1.5	1	0.9341303
sale development intern	{'NER': [], 'ROLES': ['sales', 'sales development', 'sales development intern', 'intern']}	work smart people high pay senior treat intern like big company work real impactful project work home pay company	{'NER': [], 'ROLES': ['interns', 'projects']}	american company opportunity canadian intern	{'NER': [('american company', 'ORG'), ('canadian', 'NORP')], 'ROLES': ['interns']}	Current Employee, Less Than 1 Year	5.0	2019-08-20	Current	employee	<1 year	Cisco	sale development intern work smart people high pay senior treat intern like big company work real impactful project work home pay company american company opportunity canadian intern employee	0.53647673	16.82276	65.007355	1.0	0.0	1.0	0.0	0.0	0.0	0.37934628426327444	2.5	1	0.93283623
senior remote technical analyst	{'NER': [], 'ROLES': ['senior remote technical analyst', 'technical', 'technical analyst', 'analyst']}	great management caring collegue good environment	{'NER': [], 'ROLES': ['great', 'management', 'good']}	find	{'NER': [], 'ROLES': []}	Former Employee, More Than 3 Years	5.0	2019-11-27	Former	employee	>3 year	IBM	senior remote technical analyst great management caring collegue good environment find employee	0.54670453	9.562781	12.629661	1.0	0.0	1.0	0.0	0.0	0.0	0.3865784852513652	0.5	0	0.926972
market professional	{'NER': [], 'ROLES': ['marketing', 'marketing professional', 'professional']}	great people team healthy environment	{'NER': [], 'ROLES': ['great']}	remote working option available	{'NER': [], 'ROLES': []}	Current Employee	5.0	2024-12-03	Current	employee	default	IBM	market professional great people team healthy environment remote working option available employee	0.54527956	-10.957928	16.579758	1.0	0.0	1.0	0.0	0.0	0.0	0.38557083116778906	0.5	0	0.92455584
google summer code intern	{'NER': [], 'ROLES': ['google summer of code intern', 'summer of code', 'intern']}	remote job choose area interest work	{'NER': [], 'ROLES': []}	con stiped monthly goody remove recently	{'NER': [('monthly', 'DATE')], 'ROLES': []}	Former Employee, Less Than 1 Year	5.0	2023-02-04	Former	employee	<1 year	Google	google summer code intern remote job choose area interest work con stiped monthly goody remove recently employee	0.55868506	19.006632	65.40318	1.0	0.0	1.0	0.0	0.0	0.0	0.3950500326405063	1.5	1	0.92419106
law internship	{'NER': [], 'ROLES': ['law internship', 'internship']}	employer friendly kind person good place start internship law student	{'NER': [], 'ROLES': ['good', 'internship', 'student']}	salary internee	{'NER': [], 'ROLES': []}	Current Employee, Less Than 1 Year	3.0	2012-06-07	Current	employee	<1 year	MicroSoft	law internship employer friendly kind person good place start internship law student salary internee employee	0.5123078	18.334248	66.426895	0.5	0.0	1.0	0.0	0.0	0.0	0.3622563386858599	0.0	0	0.92311513
bold intern	{'NER': [], 'ROLES': ['bold intern', 'intern']}	pay great free food okay work life balance	{'NER': [], 'ROLES': ['great', 'okay']}	period time end work extra hour	{'NER': [], 'ROLES': []}	Former Employee, Less Than 1 Year	5.0	2024-01-12	Former	employee	<1 year	Google	bold intern pay great free food okay work life balance period time end work extra hour employee	0.555045	22.519922	64.534904	1.0	0.0	1.0	0.0	0.0	0.0	0.39247603118279684	1.5	1	0.9181696
cloud solutions architect intern	{'NER': [], 'ROLES': ['cloud solutions architect', 'cloud solutions architect intern', 'solutions architect', 'architect', 'intern']}	flexibility good facility remote work prestige extra benefit	{'NER': [], 'ROLES': ['good']}	burocracy labor stagnation lack communication	{'NER': [], 'ROLES': []}	Current Employee	4.0	2025-02-06	Current	employee	default	MicroSoft	cloud solutions architect intern flexibility good facility remote work prestige extra benefit burocracy labor stagnation lack communication employee	0.50906885	-40.093037	29.97227	0.75	0.0	1.0	0.0	0.0	0.0	0.359965983695106	1.5	1	0.9172789
enterprise solution zarchitect	{'NER': [], 'ROLES': ['enterprise solution zarchitect', 'solution']}	great company work	{'NER': [], 'ROLES': ['great', 'great company']}	need remote work	{'NER': [], 'ROLES': []}	Current Employee	5.0	2025-06-25	Current	employee	default	IBM	enterprise solution zarchitect great company work need remote work employee	0.540643	-10.880245	17.331947	1.0	0.0	1.0	0.0	0.0	0.0	0.38229228020286365	0.5	0	0.9166942
datum reporting analyst	{'NER': [], 'ROLES': ['data/reporting analyst', 'reporting analyst', 'analyst']}	good office good environment remote job	{'NER': [], 'ROLES': ['good', 'good']}	work remote job	{'NER': [], 'ROLES': []}	Current Employee	5.0	2022-07-13	Current	employee	default	Google	datum reporting analyst good office good environment remote job work remote job employee	0.5537993	-9.786856	16.607435	1.0	0.0	1.0	0.0	0.0	0.0	0.3915951946995323	1.5	1	0.91610885
commercial real estate intern	{'NER': [], 'ROLES': ['commercial real estate', 'commercial real estate intern', 'real estate', 'intern']}	great knowledgeable people work	{'NER': [], 'ROLES': ['great']}	constantly downsize disguise colocation job safe	{'NER': [], 'ROLES': []}	Current Employee, More Than 10 Years	3.0	2020-01-26	Current	employee	default	IBM	commercial real estate intern great knowledgeable people work constantly downsize disguise colocation job safe employee	0.53865266	16.784122	65.73869	0.5	0.0	1.0	0.0	0.0	0.0	0.3808848709685805	0.0	0	0.9133195
pricipal software engineer	{'NER': [], 'ROLES': ['pricipal software engineer', 'software', 'software engineer', 'engineer']}	pro	{'NER': [], 'ROLES': []}	growth remote job	{'NER': [], 'ROLES': []}	Current Employee, More Than 10 Years	2.0	2025-01-13	Current	employee	default	MicroSoft	pricipal software engineer pro growth remote job employee	0.50639915	-11.123256	19.953863	0.25	0.0	1.0	0.0	0.0	0.0	0.3580782554913328	0.0	0	0.91246843
revenue operation	{'NER': [], 'ROLES': ['revenue operations', 'operations']}	great perk office remote employee smart people passion collaborate	{'NER': [], 'ROLES': ['great']}	management secretive process happen leader support team layoff time year	{'NER': [], 'ROLES': ['management', 'support', 'several']}	Former Employee, More Than 3 Years	3.0	2024-08-21	Former	employee	>3 year	Bolt	revenue operation great perk office remote employee smart people passion collaborate management secretive process happen leader support team layoff time year employee	0.36836445	-1.3001337	-26.832426	0.5	0.0	1.0	0.0	0.0	0.0	0.26047295859675457	1.0	0	0.9119069
senior software developer	{'NER': [], 'ROLES': ['senior software', 'senior software developer', 'software', 'software developer', 'developer']}	developer work remotelygood project innovative	{'NER': [], 'ROLES': ['projects']}	bank rigidity accept new technology like cloud	{'NER': [], 'ROLES': []}	Current Employee	4.0	2022-01-31	Current	employee	default	Equity	senior software developer developer work remotelygood project innovative bank rigidity accept new technology like cloud employee	0.45990947	-38.643963	32.400932	0.75	0.0	1.0	0.0	0.0	0.0	0.3252050812553738	1.5	1	0.9101627
intern	{'NER': [], 'ROLES': ['intern']}	great community people good management	{'NER': [], 'ROLES': ['great', 'good', 'management']}	intern work repetitive	{'NER': [], 'ROLES': ['intern']}	Former Employee, Less Than 1 Year	5.0	2023-12-14	Former	employee	<1 year	Co-Operative	intern great community people good management intern work repetitive employee	0.46129897	20.851286	63.577873	1.0	0.0	1.0	0.0	0.0	0.0	0.32618758810042414	0.5	0	0.908613
clinical analyst	{'NER': [], 'ROLES': ['clinical analyst', 'analyst']}	get work remote	{'NER': [], 'ROLES': []}	use well leadership	{'NER': [], 'ROLES': ['leadership']}	Former Employee, Less Than 1 Year	2.0	2024-03-22	Former	employee	<1 year	MicroSoft	clinical analyst get work remote use well leadership employee	0.5032939	-10.19465	16.33087	0.25	0.0	1.0	0.0	0.0	0.0	0.3558824793304579	1.0	0	0.9068731
internship	{'NER': [], 'ROLES': ['internship']}	great opportunity young professional start career average employee year	{'NER': [('about 27 years', 'DATE')], 'ROLES': ['great', 'employee']}	difficult far internal growth think company outsource talent lot	{'NER': [], 'ROLES': ['it', 'talent']}	Former Employee, Less Than 1 Year	3.0	2017-08-07	Former	employee	<1 year	Equity	internship great opportunity young professional start career average employee year difficult far internal growth think company outsource talent lot employee	0.45749086	16.223864	65.283554	0.5	0.0	1.0	0.0	0.0	0.0	0.3234948631807555	0.0	0	0.90537626
technical intern	{'NER': [], 'ROLES': ['technical', 'technical intern', 'intern']}	great place start career	{'NER': [], 'ROLES': ['great']}	notice far	{'NER': [], 'ROLES': []}	Current Employee	5.0	2023-06-24	Current	employee	default	IBM	technical intern great place start career notice far employee	0.5329894	17.867308	62.202328	1.0	0.0	1.0	0.0	0.0	0.0	0.3768803569741523	0.5	0	0.9037171
backend developer	{'NER': [], 'ROLES': ['backend developer', 'developer']}	good salary nice launch good benefit	{'NER': [], 'ROLES': ['good', 'good']}	remote onsite hybrid work style	{'NER': [], 'ROLES': []}	Current Employee, Less Than 1 Year	5.0	2025-02-12	Current	employee	<1 year	MicroSoft	backend developer good salary nice launch good benefit remote onsite hybrid work style employee	0.50091255	16.05489	29.33484	1.0	0.0	1.0	0.0	0.0	0.0	0.3541986519309063	1.5	1	0.9025822
digital intern	{'NER': [('digital', 'ORG')], 'ROLES': ['digital intern', 'intern']}	friendly staff career advancement good lifework balance	{'NER': [], 'ROLES': ['good']}	diverse instruction unclear far away location	{'NER': [], 'ROLES': []}	Former Employee, Less Than 1 Year	4.0	2021-03-15	Former	employee	<1 year	Google	digital intern friendly staff career advancement good lifework balance diverse instruction unclear far away location employee	0.54492605	18.0022	62.095978	0.75	0.0	1.0	0.0	0.0	0.0	0.3853208909967953	0.5	0	0.90143055
technology intern	{'NER': [], 'ROLES': ['technology', 'technology intern', 'intern']}	flexible remote option learn environment	{'NER': [], 'ROLES': []}	pressure lack job growth	{'NER': [], 'ROLES': []}	Contract	4.0	2024-11-08	Former	contractor	<1 year	Safaricom	technology intern flexible remote option learn environment pressure lack job growth contractor	0.60239977	21.012535	59.914257	0.75	1.0	0.0	0.0	0.0	0.0	0.42596089212208865	1.5	1	0.89999
